Username,Email,First Name,Last Name,Status,Groups,Roles,Custom Attributes,Created Date,Last Updated,Last Login,username,email
user1,user1@example.com,User,1,Active,Default Group,User,Custom Value,2024-08-19,2024-12-18,2024-08-19,user_1754750881_0_9943,user_1754750881_0_9943@example.com
user2,user2@example.com,User,2,Active,Default Group,User,Custom Value,2025-07-24,2024-10-30,2024-10-21,user_1754750881_1_3386,user_1754750881_1_3386@example.com
user3,user3@example.com,User,3,Active,Default Group,User,Custom Value,2024-12-13,2025-08-28,2025-04-05,user_1754750881_2_8557,user_1754750881_2_8557@example.com
user4,user4@example.com,User,4,Active,Default Group,User,Custom Value,2025-04-04,2025-02-02,2024-11-30,user_1754750881_3_4023,user_1754750881_3_4023@example.com
user5,user5@example.com,User,5,Active,Default Group,User,Custom Value,2024-08-30,2025-02-15,2025-02-04,user_1754750881_4_6727,user_1754750881_4_6727@example.com
user6,user6@example.com,User,6,Active,Default Group,User,Custom Value,2025-07-23,2025-06-22,2025-04-29,user_1754750881_5_9743,user_1754750881_5_9743@example.com
user7,user7@example.com,User,7,Active,Default Group,User,Custom Value,2024-08-23,2024-12-16,2025-05-16,user_1754750881_6_5080,user_1754750881_6_5080@example.com
user8,user8@example.com,User,8,Active,Default Group,User,Custom Value,2025-01-25,2025-06-30,2025-03-15,user_1754750881_7_8390,user_1754750881_7_8390@example.com
user9,user9@example.com,User,9,Active,Default Group,User,Custom Value,2024-12-14,2025-02-23,2025-09-07,user_1754750881_8_8579,user_1754750881_8_8579@example.com
user10,user10@example.com,User,10,Disabled,Default Group,User,Custom Value,2025-04-21,2024-11-10,2025-06-22,user_1754750881_9_2139,user_1754750881_9_2139@example.com
user11,user11@example.com,User,11,Active,Default Group,User,Custom Value,2025-07-01,2025-07-21,2024-12-16,user_1754750881_10_8445,user_1754750881_10_8445@example.com
user12,user12@example.com,User,12,Active,Default Group,User,Custom Value,2024-09-22,2025-06-23,2024-10-05,user_1754750881_11_9105,user_1754750881_11_9105@example.com
